#       step         max_devi_v         min_devi_v         avg_devi_v         max_devi_f         min_devi_f         avg_devi_f
           0       9.061598e-04       1.044963e-04       4.680057e-04       5.878663e-02       4.183256e-03       1.124199e-02
         100       8.456366e-04       2.548023e-04       4.238399e-04       3.578711e-02       4.376200e-03       1.204114e-02
         200       1.278505e-03       4.655787e-04       7.241122e-04       5.282849e-02       4.553500e-03       1.259796e-02
         300       5.788887e-04       1.314132e-04       3.631158e-04       4.015170e-02       3.762330e-03       1.302193e-02
         400       1.360827e-03       2.670916e-04       6.218829e-04       4.570889e-02       3.667244e-03       1.395385e-02
         500       1.241641e-03       2.832653e-04       6.834369e-04       4.358430e-02       4.159070e-03       1.417457e-02
         600       1.018246e-03       3.440256e-04       6.529629e-04       4.663827e-02       4.075878e-03       1.479579e-02
         700       1.802651e-03       2.112029e-04       9.264482e-04       4.319995e-02       6.201220e-03       1.614993e-02
         800       1.921557e-03       2.988196e-04       1.038264e-03       1.210619e-01       4.564352e-03       1.913689e-02
         900       1.364061e-03       2.412029e-04       8.682337e-04       9.124178e-02       6.243351e-03       1.887526e-02
        1000       1.945789e-03       6.265061e-04       1.125415e-03       6.939445e-02       5.862477e-03       1.826430e-02
        1100       2.047415e-03       2.884870e-04       1.143344e-03       4.713083e-02       4.099548e-03       1.693508e-02
        1200       2.172984e-03       2.589322e-04       1.063530e-03       4.193054e-02       6.849570e-03       1.644869e-02
        1300       2.264204e-03       2.159241e-04       1.261321e-03       4.007312e-02       6.846771e-03       1.630086e-02
        1400       3.053611e-03       2.496313e-04       1.479195e-03       3.848912e-02       5.103080e-03       1.584215e-02
        1500       2.751458e-03       1.594206e-04       1.335977e-03       6.778977e-02       5.175506e-03       1.668977e-02
        1600       2.607523e-03       3.462359e-04       1.386757e-03       5.433302e-02       5.687825e-03       1.708578e-02
        1700       1.899975e-03       2.943148e-04       1.047842e-03       5.133417e-02       5.562336e-03       1.678100e-02
        1800       2.037813e-03       1.422158e-04       1.141781e-03       4.472022e-02       4.320893e-03       1.704901e-02
        1900       2.994867e-03       3.051558e-04       1.484440e-03       4.861904e-02       4.706441e-03       1.751412e-02
        2000       2.322095e-03       1.248286e-04       1.287220e-03       4.495176e-02       5.474809e-03       1.715569e-02
        2100       2.326949e-03       2.974942e-04       1.157750e-03       4.726992e-02       5.938177e-03       1.771405e-02
        2200       2.454794e-03       1.009461e-04       1.343517e-03       4.467768e-02       6.429836e-03       1.795363e-02
        2300       2.340908e-03       4.797439e-04       1.230091e-03       5.175188e-02       6.998100e-03       1.878129e-02
        2400       1.824792e-03       4.276084e-04       1.053822e-03       5.669791e-02       5.610452e-03       1.668153e-02
        2500       2.855243e-03       4.281050e-04       1.335446e-03       4.455350e-02       6.193665e-03       1.823722e-02
        2600       3.682630e-03       4.379809e-04       1.823105e-03       3.962611e-02       5.863510e-03       1.767039e-02
        2700       1.888895e-03       2.766002e-04       9.003670e-04       4.158909e-02       4.759553e-03       1.614046e-02
        2800       1.969564e-03       3.766396e-04       1.067803e-03       4.876913e-02       4.860012e-03       1.612888e-02
        2900       1.554636e-03       2.887857e-04       8.878764e-04       6.380671e-02       4.657536e-03       1.741980e-02
        3000       2.235635e-03       2.421505e-04       1.209198e-03       7.337906e-02       6.683639e-03       2.060685e-02
        3100       1.881775e-03       1.443430e-04       1.104811e-03       4.414879e-02       4.809676e-03       1.757659e-02
        3200       1.802181e-03       1.677138e-04       9.834104e-04       4.582121e-02       6.363300e-03       1.836253e-02
        3300       2.510337e-03       2.117039e-04       1.221115e-03       6.633217e-02       4.412831e-03       1.803299e-02
        3400       2.108754e-03       3.699505e-04       1.161741e-03       5.487503e-02       6.572047e-03       1.694493e-02
        3500       1.907604e-03       1.030915e-04       1.061512e-03       4.492661e-02       5.257759e-03       1.673509e-02
        3600       2.668063e-03       1.374469e-04       1.416059e-03       8.320866e-02       5.361209e-03       1.953344e-02
        3700       2.608179e-03       4.769976e-04       1.537211e-03       8.343670e-02       6.607637e-03       1.789190e-02
        3800       2.402574e-03       4.812652e-04       1.370477e-03       8.014867e-02       5.296556e-03       1.952388e-02
        3900       2.826374e-03       4.776520e-04       1.402830e-03       7.926819e-02       6.883049e-03       1.867053e-02
        4000       3.560818e-03       2.333445e-04       1.614479e-03       6.486972e-02       5.594793e-03       2.075869e-02
        4100       2.619409e-03       5.102099e-04       1.330839e-03       5.183891e-02       7.018813e-03       1.898839e-02
        4200       2.761678e-03       4.601316e-04       1.612692e-03       5.105746e-02       6.155837e-03       1.871687e-02
        4300       2.247619e-03       3.925020e-04       1.224277e-03       5.714082e-02       6.074519e-03       1.897218e-02
        4400       2.819385e-03       1.780909e-04       1.339223e-03       4.319771e-02       4.671763e-03       1.684399e-02
        4500       3.025645e-03       1.213773e-04       1.549147e-03       5.267117e-02       6.581454e-03       1.882873e-02
        4600       1.930418e-03       4.551804e-04       1.173714e-03       8.391529e-02       6.313385e-03       1.962076e-02
        4700       2.577199e-03       5.531570e-04       1.331527e-03       6.468025e-02       7.225428e-03       2.025447e-02
        4800       2.534690e-03       5.693186e-05       1.353941e-03       1.134186e-01       6.013022e-03       1.910992e-02
        4900       2.658289e-03       3.888144e-04       1.367166e-03       7.172048e-02       5.529900e-03       1.942108e-02
        5000       2.688757e-03       7.111241e-05       1.401680e-03       6.760314e-02       7.172477e-03       1.918355e-02
        5100       2.782320e-03       1.290052e-04       1.442961e-03       8.766568e-02       4.439926e-03       2.003269e-02
        5200       3.449119e-03       9.560192e-05       1.543356e-03       7.481727e-02       5.652571e-03       2.072865e-02
        5300       3.181956e-03       6.064321e-04       1.862142e-03       6.780981e-02       6.500947e-03       2.195514e-02
        5400       2.810134e-03       1.288395e-04       1.646859e-03       5.225020e-02       7.470421e-03       1.978212e-02
        5500       3.080184e-03       1.595352e-04       1.644562e-03       5.688184e-02       7.011062e-03       2.116509e-02
        5600       2.944615e-03       2.547107e-04       1.671509e-03       6.321165e-02       7.130987e-03       2.050509e-02
        5700       3.532930e-03       3.598642e-04       1.955618e-03       3.596247e-02       6.321668e-03       1.661787e-02
        5800       2.573895e-03       3.593124e-04       1.508175e-03       4.061990e-02       4.554725e-03       1.675832e-02
        5900       3.332853e-03       4.168365e-04       1.929020e-03       9.049744e-02       3.257389e-03       2.251021e-02
        6000       2.723497e-03       3.408133e-04       1.534818e-03       5.828799e-02       5.952328e-03       1.942107e-02
        6100       1.648015e-03       5.054679e-04       1.098488e-03       4.833054e-02       5.257120e-03       2.234759e-02
        6200       3.071146e-03       5.678160e-04       1.464011e-03       1.101776e-01       5.344579e-03       2.202131e-02
        6300       3.451315e-03       3.456288e-04       1.789723e-03       6.424525e-02       5.099673e-03       1.934920e-02
        6400       3.096484e-03       1.798419e-04       1.630960e-03       4.988071e-02       4.751475e-03       1.684466e-02
        6500       3.165776e-03       2.314615e-04       1.770822e-03       4.002440e-02       4.765681e-03       1.695727e-02
        6600       2.616468e-03       2.762369e-04       1.354887e-03       4.701548e-02       5.837788e-03       1.845001e-02
        6700       2.819155e-03       4.118228e-04       1.649445e-03       4.283410e-02       6.203765e-03       1.826851e-02
        6800       3.235342e-03       4.805325e-04       1.707299e-03       4.901225e-02       6.417737e-03       2.025546e-02
        6900       2.817459e-03       1.616898e-04       1.517472e-03       5.162190e-02       6.378872e-03       2.077127e-02
        7000       2.768578e-03       3.442732e-04       1.382863e-03       5.598723e-02       5.702056e-03       1.889742e-02
        7100       2.757867e-03       3.358794e-04       1.593015e-03       4.593392e-02       5.033890e-03       1.897862e-02
        7200       3.988809e-03       4.579538e-04       1.883147e-03       6.923146e-02       5.829136e-03       1.928494e-02
        7300       3.063859e-03       3.483595e-04       1.610050e-03       7.936900e-02       6.689410e-03       2.073352e-02
        7400       3.106051e-03       2.590343e-04       1.560625e-03       9.083431e-02       5.067192e-03       2.031143e-02
        7500       2.687858e-03       2.583651e-04       1.562611e-03       5.011155e-02       6.199737e-03       1.994686e-02
        7600       3.310244e-03       4.015918e-04       1.756533e-03       6.635982e-02       7.294320e-03       1.967249e-02
        7700       2.861160e-03       3.583779e-04       1.590771e-03       8.710161e-02       4.726778e-03       2.004822e-02
        7800       3.505657e-03       1.946755e-04       1.839698e-03       4.514214e-02       5.236993e-03       1.887154e-02
        7900       3.029757e-03       1.644661e-04       1.606214e-03       7.476151e-02       6.163527e-03       2.137150e-02
        8000       2.796653e-03       3.072830e-04       1.513016e-03       4.566574e-02       6.136350e-03       1.830555e-02
        8100       2.754346e-03       2.572130e-04       1.417989e-03       5.260208e-02       4.819544e-03       2.020485e-02
        8200       3.141121e-03       2.811676e-04       1.782187e-03       6.656339e-02       4.144874e-03       1.983612e-02
        8300       3.612072e-03       4.338464e-04       1.864784e-03       6.352332e-02       5.258871e-03       1.994909e-02
        8400       2.996944e-03       3.980168e-04       1.655082e-03       4.576249e-02       5.206123e-03       1.933668e-02
        8500       3.755844e-03       3.739793e-04       1.920134e-03       6.942656e-02       7.664710e-03       2.069243e-02
        8600       2.160873e-03       3.885075e-04       1.281255e-03       6.789265e-02       6.932827e-03       2.253683e-02
        8700       3.179363e-03       1.472140e-04       1.713146e-03       5.697406e-02       6.216084e-03       2.094480e-02
        8800       3.272714e-03       3.954550e-04       1.590245e-03       8.083945e-02       6.745682e-03       2.280336e-02
        8900       3.520478e-03       1.836133e-04       1.856705e-03       5.457333e-02       7.592043e-03       2.004179e-02
        9000       4.023143e-03       3.032703e-04       1.951295e-03       6.085660e-02       7.568882e-03       2.039670e-02
        9100       3.631590e-03       4.261421e-04       2.053714e-03       7.137497e-02       4.688380e-03       2.160978e-02
        9200       3.660641e-03       3.805056e-04       1.954126e-03       5.075206e-02       5.257696e-03       2.092810e-02
        9300       4.582097e-03       1.761482e-04       2.388490e-03       7.140822e-02       7.474440e-03       2.124223e-02
        9400       4.009202e-03       2.911088e-04       2.187052e-03       4.829904e-02       6.318780e-03       2.100900e-02
        9500       3.527580e-03       5.039545e-04       2.020559e-03       6.868213e-02       7.940009e-03       2.256727e-02
        9600       3.522682e-03       4.638618e-04       1.938486e-03       6.074269e-02       6.911758e-03       2.373805e-02
        9700       3.661486e-03       4.265978e-04       1.812843e-03       6.022335e-02       8.028653e-03       2.205323e-02
        9800       3.645336e-03       3.603433e-04       2.065214e-03       8.524010e-02       7.921530e-03       2.288839e-02
        9900       3.880699e-03       1.526176e-04       2.059053e-03       5.066783e-02       7.034509e-03       2.041478e-02
       10000       2.968500e-03       6.283849e-04       1.755434e-03       4.816889e-02       6.270638e-03       1.950051e-02
       10100       3.097632e-03       4.278448e-04       1.681199e-03       5.897409e-02       5.973069e-03       1.956081e-02
       10200       3.356329e-03       7.655353e-05       1.558912e-03       5.651877e-02       5.067058e-03       2.072810e-02
       10300       3.776671e-03       3.150648e-04       1.777808e-03       3.610584e-02       4.545417e-03       1.855986e-02
       10400       2.900337e-03       2.025913e-04       1.546074e-03       7.699002e-02       5.680757e-03       2.070950e-02
       10500       2.355632e-03       1.934597e-04       1.239468e-03       9.965610e-02       5.766808e-03       2.030361e-02
       10600       2.668535e-03       1.857903e-04       1.400179e-03       5.850377e-02       2.891224e-03       1.918342e-02
       10700       3.106087e-03       2.107932e-04       1.491321e-03       6.774359e-02       7.018004e-03       2.013925e-02
       10800       2.950497e-03       4.205047e-04       1.686339e-03       5.848898e-02       5.858229e-03       1.736923e-02
       10900       2.534901e-03       3.504743e-04       1.495728e-03       5.267491e-02       4.687989e-03       1.933396e-02
       11000       2.424036e-03       1.910228e-04       1.301533e-03       7.464395e-02       5.162178e-03       1.985855e-02
       11100       2.180265e-03       3.318226e-04       1.192782e-03       8.072477e-02       4.946293e-03       1.937398e-02
       11200       3.315034e-03       5.083419e-04       1.533169e-03       6.363518e-02       5.315429e-03       2.046674e-02
       11300       1.823188e-03       2.674757e-04       1.104229e-03       6.095083e-02       6.198505e-03       1.886429e-02
       11400       2.318085e-03       5.723613e-04       1.129406e-03       3.985589e-02       7.015073e-03       1.615751e-02
       11500       1.800680e-03       1.791705e-04       9.811280e-04       3.751928e-02       5.624011e-03       1.700141e-02
