#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
      0      2.60e+01    2.61e+01      6.76e-01    6.76e-01      8.20e-01    8.23e-01    1.0e-03
    100      1.18e+01    1.11e+01      1.90e-01    1.81e-01      3.73e-01    3.50e-01    1.0e-03
    200      7.50e+00    7.34e+00      5.96e-02    5.33e-02      2.37e-01    2.32e-01    1.0e-03
    300      6.12e+00    5.66e+00      5.16e-02    5.17e-02      1.94e-01    1.79e-01    1.0e-03
    400      5.24e+00    5.22e+00      7.22e-04    4.92e-03      1.66e-01    1.65e-01    1.0e-03
    500      4.90e+00    4.66e+00      6.78e-02    6.39e-02      1.55e-01    1.47e-01    1.0e-03
    600      4.64e+00    4.53e+00      3.01e-02    2.85e-02      1.47e-01    1.43e-01    1.0e-03
    700      4.22e+00    4.72e+00      3.26e-03    4.81e-03      1.34e-01    1.49e-01    1.0e-03
    800      5.00e+00    4.65e+00      3.18e-02    3.06e-02      1.58e-01    1.47e-01    1.0e-03
    900      4.39e+00    4.52e+00      2.40e-02    2.67e-02      1.39e-01    1.43e-01    1.0e-03
   1000      4.16e+00    4.16e+00      5.11e-02    5.10e-02      1.31e-01    1.32e-01    1.0e-03
   1100      4.22e+00    3.69e+00      8.10e-02    8.21e-02      1.33e-01    1.17e-01    1.0e-03
   1200      4.06e+00    3.87e+00      1.40e-02    1.40e-02      1.28e-01    1.22e-01    1.0e-03
   1300      4.12e+00    4.12e+00      1.48e-02    1.52e-02      1.30e-01    1.30e-01    1.0e-03
   1400      3.85e+00    3.53e+00      1.12e-03    4.94e-04      1.22e-01    1.12e-01    1.0e-03
   1500      3.53e+00    3.32e+00      1.28e-02    1.10e-02      1.12e-01    1.05e-01    1.0e-03
   1600      3.70e+00    3.60e+00      6.77e-02    6.90e-02      1.17e-01    1.14e-01    1.0e-03
   1700      3.85e+00    3.43e+00      3.03e-02    3.21e-02      1.22e-01    1.08e-01    1.0e-03
   1800      3.49e+00    3.15e+00      6.11e-02    6.02e-02      1.10e-01    9.95e-02    1.0e-03
   1900      3.52e+00    3.26e+00      5.59e-02    5.45e-02      1.11e-01    1.03e-01    1.0e-03
   2000      3.32e+00    3.46e+00      7.33e-03    3.96e-03      1.05e-01    1.10e-01    1.0e-03
   2100      3.09e+00    3.19e+00      6.06e-02    5.96e-02      9.78e-02    1.01e-01    1.0e-03
   2200      3.15e+00    2.93e+00      3.20e-02    3.10e-02      9.95e-02    9.25e-02    1.0e-03
   2300      3.27e+00    3.53e+00      5.77e-02    5.84e-02      1.03e-01    1.12e-01    1.0e-03
   2400      3.34e+00    3.13e+00      5.87e-02    5.91e-02      1.06e-01    9.88e-02    1.0e-03
   2500      2.95e+00    3.33e+00      2.09e-02    1.97e-02      9.31e-02    1.05e-01    1.0e-03
   2600      3.10e+00    2.85e+00      2.73e-02    2.69e-02      9.80e-02    9.02e-02    1.0e-03
   2700      3.18e+00    2.82e+00      4.73e-02    4.72e-02      1.01e-01    8.91e-02    1.0e-03
   2800      3.40e+00    3.52e+00      3.27e-02    3.29e-02      1.08e-01    1.11e-01    1.0e-03
   2900      3.28e+00    3.18e+00      3.99e-03    3.91e-03      1.04e-01    1.00e-01    1.0e-03
   3000      2.88e+00    2.75e+00      2.68e-02    2.56e-02      9.11e-02    8.69e-02    1.0e-03
   3100      3.57e+00    3.28e+00      2.27e-02    2.38e-02      1.13e-01    1.04e-01    1.0e-03
   3200      3.21e+00    2.81e+00      1.92e-02    1.98e-02      1.01e-01    8.88e-02    1.0e-03
   3300      3.15e+00    3.01e+00      2.64e-02    2.94e-02      9.95e-02    9.52e-02    1.0e-03
   3400      3.16e+00    2.94e+00      1.55e-02    1.69e-02      9.98e-02    9.29e-02    1.0e-03
